t,count
1622041446,12
1622041449,13
1622041454,14
1622041459,15
1622041465,16
1622041514,17
1622041524,18
1622041531,19
1622041536,20
1622041582,21
1622041604,22
1622041634,23
1622041649,24
1622041668,25
1622041682,26
1622041711,27
1622041728,28
1622041732,29
1622041763,30
1622041771,31
1622044267,30
1622045071,30
1622045215,29
1622046973,30
1622047181,31
1622047631,30
1622047654,29
1622047662,28
1622047664,27
1622047718,26
1622047752,25
1622047758,24
1622047764,23
1622047794,22
1622047816,21
1622047820,20
1622047837,19
1622047884,18
1622047954,17
1622048018,16
1622048021,15
1622048025,14
1622048051,13
1622048059,12
1622048062,11
1622048071,10
1622048107,9
1622048113,8
1622048124,7
1622048126,6
1622048174,5
1622048219,4
1622048229,3
1622048234,2
1622048307,1
1622048379,0
1622048425,1
1622048448,2
1622048451,3
1622048480,4
1622048483,5
1622048492,6
1622048518,7
1622048524,8
1622048568,9
1622048570,10
1622048581,11
1622048583,12
1622048592,13
1622048616,14
1622048621,15
1622048627,16
1622048632,17
1622048642,18
1622048644,19
1622048657,20
1622048671,21
1622048681,22
1622048699,23
1622048708,24
1622048716,25
1622048723,26
1622048761,27
1622048787,28
1622048815,29
1622049807,29
1622050989,28
1622051256,27
1622053437,26
1622053539,25
1622054264,26
1622054321,27
1622054325,28
1622054332,29
1622055104,28
1622055126,27
1622055146,26
1622055151,25
1622055163,24
1622055184,23
1622055185,22
1622055194,21
1622055211,20
1622055226,19
1622055241,19
1622055249,18
1622055261,17
1622055271,16
1622055277,15
1622055295,14
1622055308,13
1622055324,12
1622055329,11
1622055338,10
1622055358,9
1622055397,8
1622055403,7
1622055422,6
1622055424,5
1622055431,4
1622055443,3
1622055460,2
1622055586,1
1622055600,0
1622056141,0
1622057041,0
1622057941,0
1622058841,0
1622059741,0
1622060641,0
1622061541,0
1622062441,0
1622063341,0
1622064241,0
1622065141,0
1622066175,0
1622069596,0
1622077044,0
1622102408,1
1622102410,2
1622102415,3
1622102416,4
1622102420,5
1622102470,6
1622102473,7
1622102479,8
1622102510,9
1622102514,10
1622102521,11
1622102532,12
1622102546,13
1622102576,14
1622102581,15
1622102637,16
1622102640,17
1622102642,18
1622102656,19
1622102663,20
1622102680,21
1622102736,22
1622102748,23
1622102749,24
1622102758,25
1622102921,25
1622105343,24
1622105385,23
1622105885,22
1622107022,21
1622107397,21
1622108159,22
1622108212,23
1622108249,24
1622108297,24
1622108372,25
1622108836,24
1622108918,23
1622108966,22
1622108971,21
1622109017,20
1622109032,19
1622109114,18
1622109130,17
1622109131,16
1622109141,15
1622109147,14
1622109191,13
1622109197,13
1622109281,12
1622109284,11
1622109311,10
1622109313,9
1622109327,8
1622109443,7
1622109456,6
1622109462,5
1622109512,4
1622109524,3
1622109525,2
1622109567,1
1622109596,0
1622109614,1
1622109616,2
1622109647,3
1622109656,4
1622109666,5
1622109802,6
1622109805,7
1622109830,8
1622109851,9
1622109885,10
1622109893,11
1622109994,12
1622110034,13
1622110091,14
1622110097,14
1622110103,15
1622110116,16
1622110142,17
1622110191,18
1622110195,19
1622110997,19
